loudness_low;loudness_medium;loudness_high;tone_low;tone_medium;tone_high;spectrum_low;spectrum_medium;spectrum_high;quality_low;quality_medium;quality_high;id
1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;0.744316478373424;0.0;0.0;0.0;0.0;0.0;1.0;0.5834466607307789;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;only spectralflux - Quartiles
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.056892660957979624;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.08531532685673837;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;0.5483871693842222;1.0;0.0;0.0;0.0;0.8638816801425873;0.1361183198574127;0.9715030285131583;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;0.6755090339479641;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;0.5500899674210475;1.0;0.0;0.0;0.0;0.33290641411641475;0.6670935858835852;0.0;0.0;0.0;only spectralflux - Quartiles
1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;only spectralflux - Quartiles
1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;1.0;0.0;0.0;0.9490099794128772;0.05099002058712277;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;0.0;0.012327213800759646;0.9876727861992404;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;0.0;0.8408177824463664;0.15918221755363365;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
